State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min Price,Max Price,Modal Price,Commodity_Code,Date,Arrival Quantity
Maharashtra,Jalana,Bhokardan,Cotton,Other,FAQ,07/12/2015,4150,4190,4175,15,2015-12-07,100
Maharashtra,Jalana,Bhokardan,Cotton,Other,FAQ,08/12/2015,4150,4190,4170,15,2015-12-08,100
Maharashtra,Jalana,Jalana,Cotton,Other,FAQ,08/12/2015,4100,4100,4100,15,2015-12-08,100
Maharashtra,Jalana,Bhokardan,Cotton,Other,FAQ,09/12/2015,4150,4190,4170,15,2015-12-09,100
Maharashtra,Jalana,Jalana,Cotton,Other,FAQ,09/12/2015,4100,4100,4100,15,2015-12-09,100
Maharashtra,Jalana,Ghansawangi,Cotton,Other,FAQ,09/12/2015,4100,4150,4150,15,2015-12-09,100
Maharashtra,Jalana,Bhokardan,Cotton,Other,FAQ,10/12/2015,4150,4185,4175,15,2015-12-10,100
Maharashtra,Jalana,Jalana,Cotton,Other,FAQ,10/12/2015,4100,4100,4100,15,2015-12-10,100
Maharashtra,Jalana,Bhokardan,Cotton,Other,FAQ,11/12/2015,4150,4190,4175,15,2015-12-11,100
Maharashtra,Jalana,Jalana,Cotton,Other,FAQ,12/12/2015,4100,4100,4100,15,2015-12-12,100
Maharashtra,Jalana,Jalana,Cotton,Other,FAQ,14/12/2015,4100,4100,4100,15,2015-12-14,100
Maharashtra,Jalana,Bhokardan,Cotton,Other,FAQ,14/12/2015,4100,4290,4150,15,2015-12-14,100
Maharashtra,Jalana,Bhokardan,Cotton,Other,FAQ,15/12/2015,4150,4220,4180,15,2015-12-15,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,16/12/2015,4100,4350,4250,15,2015-12-16,100
Maharashtra,Jalana,Ghansawangi,Cotton,Other,FAQ,16/12/2015,4150,4250,4200,15,2015-12-16,100
Maharashtra,Jalana,Bhokardan,Cotton,Other,FAQ,16/12/2015,4150,4225,4190,15,2015-12-16,100
Maharashtra,Jalana,Partur,Cotton,Other,FAQ,16/12/2015,4100,4300,4211,15,2015-12-16,100
Maharashtra,Jalana,Bhokardan,Cotton,Other,FAQ,17/12/2015,4150,4230,4200,15,2015-12-17,100
Maharashtra,Jalana,Bhokardan,Cotton,Other,FAQ,18/12/2015,4150,4250,4200,15,2015-12-18,100
Maharashtra,Jalana,Partur,Cotton,Other,FAQ,18/12/2015,4100,4300,4250,15,2015-12-18,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,18/12/2015,4100,4350,4200,15,2015-12-18,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,19/12/2015,4100,4350,4200,15,2015-12-19,100
Maharashtra,Jalana,Partur,Cotton,Other,FAQ,19/12/2015,4300,4400,4320,15,2015-12-19,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,20/12/2015,4100,4350,4200,15,2015-12-20,100
Maharashtra,Jalana,Bhokardan,Cotton,Other,FAQ,21/12/2015,4170,4250,4225,15,2015-12-21,100
Maharashtra,Jalana,Partur,Cotton,Other,FAQ,21/12/2015,4180,4400,4400,15,2015-12-21,100
Maharashtra,Jalana,Mantha,Cotton,Desi,FAQ,21/12/2015,4100,4350,4250,15,2015-12-21,100
Maharashtra,Jalana,Partur,Cotton,Other,FAQ,22/12/2015,4300,4550,4430,15,2015-12-22,100
